"P.trt","P.lim","P.daynumber","P.Time.point","P.cID","P.Rep","B.trt","B.lim","B.daynumber","B.Time.point","B.cID","B.Rep","infectivity"
"T","N","23","5","NL2","2","C","N","129","19","NL1","2",1
"T","N","23","5","NL2","2","C","N","129","19","NL1","2",1
"T","N","23","5","NL2","3","C","N","129","19","NL1","2",0
"T","N","23","5","NL3","1","C","N","129","19","NL1","2",0
"T","N","23","5","NL3","2","C","N","129","19","NL1","2",0
"T","N","23","5","NL3","3","C","N","129","19","NL1","2",1
"T","N","23","5","NL5","1","C","N","129","19","NL1","2",0
"T","N","23","5","NL5","2","C","N","129","19","NL1","2",1
"T","N","23","5","NL5","3","C","N","129","19","NL1","2",1
"T","N","72","12","NL2","1","C","N","129","19","NL1","2",1
"T","N","72","12","NL2","2","C","N","129","19","NL1","2",0
"T","N","72","12","NL2","3","C","N","129","19","NL1","2",1
"T","N","72","12","NL2","4","C","N","129","19","NL1","2",1
"T","N","72","12","NL2","5","C","N","129","19","NL1","2",0
"T","N","72","12","NL3","1","C","N","129","19","NL1","2",0
"T","N","72","12","NL3","4","C","N","129","19","NL1","2",0
"T","N","72","12","NL5","1","C","N","129","19","NL1","2",0
"T","N","72","12","NL5","2","C","N","129","19","NL1","2",0
"T","N","72","12","NL5","3","C","N","129","19","NL1","2",0
"T","N","72","12","NL5","4","C","N","129","19","NL1","2",0
"T","N","72","12","NL5","5","C","N","129","19","NL1","2",0
"T","N","129","19","NL2","1","C","N","129","19","NL1","2",1
"T","N","129","19","NL2","3","C","N","129","19","NL1","2",0
"T","N","129","19","NL3","1","C","N","129","19","NL1","2",1
"T","N","129","19","NL3","2","C","N","129","19","NL1","2",1
"T","N","129","19","NL3","3","C","N","129","19","NL1","2",1
"T","N","129","19","NL3","4","C","N","129","19","NL1","2",1
"T","N","129","19","NL5","1","C","N","129","19","NL1","2",0
"T","N","129","19","NL5","2","C","N","129","19","NL1","2",0
"T","N","129","19","NL5","3","C","N","129","19","NL1","2",1
"T","N","129","19","NL5","4","C","N","129","19","NL1","2",0
"T","N","166","21","NL2","1","C","N","129","19","NL1","2",1
"T","N","166","21","NL2","2","C","N","129","19","NL1","2",1
"T","N","166","21","NL2","3","C","N","129","19","NL1","2",0
"T","N","166","21","NL2","4","C","N","129","19","NL1","2",1
"T","N","166","21","NL3","1","C","N","129","19","NL1","2",1
"T","N","166","21","NL3","2","C","N","129","19","NL1","2",1
"T","N","166","21","NL3","3","C","N","129","19","NL1","2",1
"T","N","166","21","NL3","4","C","N","129","19","NL1","2",1
"T","P","9","3","PL2","1","C","N","129","19","NL1","2",1
"T","P","9","3","PL2","2","C","N","129","19","NL1","2",0
"T","P","9","3","PL4","1","C","N","129","19","NL1","2",1
"T","P","9","3","PL4","2","C","N","129","19","NL1","2",1
"T","P","9","3","PL5","1","C","N","129","19","NL1","2",1
"T","P","23","5","PL2","1","C","N","129","19","NL1","2",1
"T","P","23","5","PL2","2","C","N","129","19","NL1","2",1
"T","P","23","5","PL2","3","C","N","129","19","NL1","2",0
"T","P","23","5","PL4","1","C","N","129","19","NL1","2",0
"T","P","23","5","PL4","2","C","N","129","19","NL1","2",0
"T","P","23","5","PL4","3","C","N","129","19","NL1","2",1
"T","P","23","5","PL5","1","C","N","129","19","NL1","2",0
"T","P","23","5","PL5","2","C","N","129","19","NL1","2",0
"T","P","23","5","PL5","3","C","N","129","19","NL1","2",NA
"T","P","72","12","PL2","1","C","N","129","19","NL1","2",0
"T","P","72","12","PL2","2","C","N","129","19","NL1","2",0
"T","P","72","12","PL2","3","C","N","129","19","NL1","2",0
"T","P","72","12","PL2","4","C","N","129","19","NL1","2",0
"T","P","72","12","PL2","5","C","N","129","19","NL1","2",0
"T","P","72","12","PL4","1","C","N","129","19","NL1","2",0
"T","P","72","12","PL4","2","C","N","129","19","NL1","2",0
"T","P","72","12","PL4","3","C","N","129","19","NL1","2",0
"T","P","72","12","PL4","4","C","N","129","19","NL1","2",0
"T","P","72","12","PL4","5","C","N","129","19","NL1","2",0
"T","P","72","12","PL5","1","C","N","129","19","NL1","2",0
"T","P","72","12","PL5","4","C","N","129","19","NL1","2",1
"T","P","72","12","PL5","5","C","N","129","19","NL1","2",0
"T","P","129","19","PL2","1","C","N","129","19","NL1","2",1
"T","P","129","19","PL2","3","C","N","129","19","NL1","2",0
"T","P","129","19","PL2","4","C","N","129","19","NL1","2",0
"T","P","129","19","PL4","1","C","N","129","19","NL1","2",0
"T","P","129","19","PL4","2","C","N","129","19","NL1","2",1
"T","P","129","19","PL4","3","C","N","129","19","NL1","2",1
"T","P","129","19","PL4","4","C","N","129","19","NL1","2",1
"T","P","129","19","PL5","1","C","N","129","19","NL1","2",0
"T","P","129","19","PL5","2","C","N","129","19","NL1","2",1
"T","P","129","19","PL5","3","C","N","129","19","NL1","2",0
"T","P","129","19","PL5","4","C","N","129","19","NL1","2",1
"T","P","166","21","PL2","1","C","N","129","19","NL1","2",0
"T","P","166","21","PL2","2","C","N","129","19","NL1","2",0
"T","P","166","21","PL2","3","C","N","129","19","NL1","2",0
"T","P","166","21","PL2","4","C","N","129","19","NL1","2",0
"T","P","166","21","PL4","1","C","N","129","19","NL1","2",0
"T","P","166","21","PL4","2","C","N","129","19","NL1","2",0
"T","P","166","21","PL4","3","C","N","129","19","NL1","2",0
"T","P","166","21","PL4","4","C","N","129","19","NL1","2",1
"T","P","166","21","PL5","1","C","N","129","19","NL1","2",0
"T","P","166","21","PL5","2","C","N","129","19","NL1","2",1
"T","P","166","21","PL5","3","C","N","129","19","NL1","2",1
"T","P","166","21","PL5","4","C","N","129","19","NL1","2",1
NA,NA,"0","0","RIM8-1","1","C","N","129","19","NL1","4",1
"T","N","9","3","NL2","1","C","N","129","19","NL1","4",1
"T","N","9","3","NL2","2","C","N","129","19","NL1","4",1
"T","N","9","3","NL3","1","C","N","129","19","NL1","4",1
"T","N","9","3","NL3","2","C","N","129","19","NL1","4",1
"T","N","9","3","NL5","1","C","N","129","19","NL1","4",1
"T","N","9","3","NL5","2","C","N","129","19","NL1","4",1
"T","N","23","5","NL2","2","C","N","129","19","NL1","4",1
"T","N","23","5","NL2","2","C","N","129","19","NL1","4",0
"T","N","23","5","NL2","3","C","N","129","19","NL1","4",1
"T","N","23","5","NL3","1","C","N","129","19","NL1","4",1
"T","N","23","5","NL3","2","C","N","129","19","NL1","4",1
"T","N","23","5","NL3","3","C","N","129","19","NL1","4",0
"T","N","23","5","NL5","1","C","N","129","19","NL1","4",1
"T","N","23","5","NL5","2","C","N","129","19","NL1","4",1
"T","N","23","5","NL5","3","C","N","129","19","NL1","4",0
"T","N","72","12","NL2","1","C","N","129","19","NL1","4",1
"T","N","72","12","NL2","2","C","N","129","19","NL1","4",1
"T","N","72","12","NL2","3","C","N","129","19","NL1","4",1
"T","N","72","12","NL2","4","C","N","129","19","NL1","4",1
"T","N","72","12","NL2","5","C","N","129","19","NL1","4",0
"T","N","72","12","NL3","1","C","N","129","19","NL1","4",0
"T","N","72","12","NL3","4","C","N","129","19","NL1","4",1
"T","N","72","12","NL5","1","C","N","129","19","NL1","4",0
"T","N","72","12","NL5","2","C","N","129","19","NL1","4",1
"T","N","72","12","NL5","3","C","N","129","19","NL1","4",1
"T","N","72","12","NL5","4","C","N","129","19","NL1","4",0
"T","N","72","12","NL5","5","C","N","129","19","NL1","4",1
"T","N","129","19","NL2","1","C","N","129","19","NL1","4",1
"T","N","129","19","NL2","3","C","N","129","19","NL1","4",1
"T","N","129","19","NL3","1","C","N","129","19","NL1","4",0
"T","N","129","19","NL3","2","C","N","129","19","NL1","4",0
"T","N","129","19","NL3","3","C","N","129","19","NL1","4",0
"T","N","129","19","NL3","4","C","N","129","19","NL1","4",1
"T","N","129","19","NL5","1","C","N","129","19","NL1","4",0
"T","N","129","19","NL5","2","C","N","129","19","NL1","4",0
"T","N","129","19","NL5","3","C","N","129","19","NL1","4",0
"T","N","129","19","NL5","4","C","N","129","19","NL1","4",0
"T","N","166","21","NL2","1","C","N","129","19","NL1","4",1
"T","N","166","21","NL2","2","C","N","129","19","NL1","4",1
"T","N","166","21","NL2","3","C","N","129","19","NL1","4",1
"T","N","166","21","NL2","4","C","N","129","19","NL1","4",1
"T","N","166","21","NL3","1","C","N","129","19","NL1","4",1
"T","N","166","21","NL3","2","C","N","129","19","NL1","4",1
"T","N","166","21","NL3","3","C","N","129","19","NL1","4",0
"T","N","166","21","NL3","4","C","N","129","19","NL1","4",1
"T","P","9","3","PL2","1","C","N","129","19","NL1","4",1
"T","P","9","3","PL2","2","C","N","129","19","NL1","4",1
"T","P","9","3","PL4","1","C","N","129","19","NL1","4",0
"T","P","9","3","PL4","2","C","N","129","19","NL1","4",0
"T","P","9","3","PL5","1","C","N","129","19","NL1","4",0
"T","P","23","5","PL2","1","C","N","129","19","NL1","4",1
"T","P","23","5","PL2","2","C","N","129","19","NL1","4",0
"T","P","23","5","PL2","3","C","N","129","19","NL1","4",1
"T","P","23","5","PL4","1","C","N","129","19","NL1","4",0
"T","P","23","5","PL4","2","C","N","129","19","NL1","4",0
"T","P","23","5","PL4","3","C","N","129","19","NL1","4",0
"T","P","23","5","PL5","1","C","N","129","19","NL1","4",1
"T","P","23","5","PL5","2","C","N","129","19","NL1","4",1
"T","P","23","5","PL5","3","C","N","129","19","NL1","4",0
"T","P","72","12","PL2","1","C","N","129","19","NL1","4",NA
"T","P","72","12","PL2","2","C","N","129","19","NL1","4",1
"T","P","72","12","PL2","3","C","N","129","19","NL1","4",1
"T","P","72","12","PL2","4","C","N","129","19","NL1","4",1
"T","P","72","12","PL2","5","C","N","129","19","NL1","4",1
"T","P","72","12","PL4","1","C","N","129","19","NL1","4",1
"T","P","72","12","PL4","2","C","N","129","19","NL1","4",1
"T","P","72","12","PL4","3","C","N","129","19","NL1","4",1
"T","P","72","12","PL4","4","C","N","129","19","NL1","4",1
"T","P","72","12","PL4","5","C","N","129","19","NL1","4",1
"T","P","72","12","PL5","1","C","N","129","19","NL1","4",1
"T","P","72","12","PL5","4","C","N","129","19","NL1","4",1
"T","P","72","12","PL5","5","C","N","129","19","NL1","4",1
"T","P","129","19","PL2","1","C","N","129","19","NL1","4",0
"T","P","129","19","PL2","3","C","N","129","19","NL1","4",0
"T","P","129","19","PL2","4","C","N","129","19","NL1","4",0
"T","P","129","19","PL4","1","C","N","129","19","NL1","4",0
"T","P","129","19","PL4","2","C","N","129","19","NL1","4",0
"T","P","129","19","PL4","3","C","N","129","19","NL1","4",1
"T","P","129","19","PL4","4","C","N","129","19","NL1","4",1
"T","P","129","19","PL5","1","C","N","129","19","NL1","4",0
"T","P","129","19","PL5","2","C","N","129","19","NL1","4",1
"T","P","129","19","PL5","3","C","N","129","19","NL1","4",0
"T","P","129","19","PL5","4","C","N","129","19","NL1","4",1
"T","P","166","21","PL2","1","C","N","129","19","NL1","4",0
"T","P","166","21","PL2","2","C","N","129","19","NL1","4",0
"T","P","166","21","PL2","3","C","N","129","19","NL1","4",0
"T","P","166","21","PL2","4","C","N","129","19","NL1","4",0
"T","P","166","21","PL4","1","C","N","129","19","NL1","4",0
"T","P","166","21","PL4","2","C","N","129","19","NL1","4",1
"T","P","166","21","PL4","3","C","N","129","19","NL1","4",0
"T","P","166","21","PL4","4","C","N","129","19","NL1","4",1
"T","P","166","21","PL5","1","C","N","129","19","NL1","4",0
"T","P","166","21","PL5","2","C","N","129","19","NL1","4",1
"T","P","166","21","PL5","3","C","N","129","19","NL1","4",1
"T","P","166","21","PL5","4","C","N","129","19","NL1","4",1
NA,NA,"0","0","RIM8-1","1","T","N","-6","1","NL2","1",1
"T","N","9","3","NL2","1","T","N","-6","1","NL2","1",1
"T","N","9","3","NL2","2","T","N","-6","1","NL2","1",1
"T","N","9","3","NL3","1","T","N","-6","1","NL2","1",1
"T","N","9","3","NL3","2","T","N","-6","1","NL2","1",1
"T","N","9","3","NL5","1","T","N","-6","1","NL2","1",1
"T","N","9","3","NL5","2","T","N","-6","1","NL2","1",1
"T","N","23","5","NL2","2","T","N","-6","1","NL2","1",1
"T","N","23","5","NL2","2","T","N","-6","1","NL2","1",0
"T","N","23","5","NL2","3","T","N","-6","1","NL2","1",1
"T","N","23","5","NL3","1","T","N","-6","1","NL2","1",1
"T","N","23","5","NL3","2","T","N","-6","1","NL2","1",1
"T","N","23","5","NL3","3","T","N","-6","1","NL2","1",0
"T","N","23","5","NL5","1","T","N","-6","1","NL2","1",1
"T","N","23","5","NL5","2","T","N","-6","1","NL2","1",1
"T","N","23","5","NL5","3","T","N","-6","1","NL2","1",0
"T","N","72","12","NL2","1","T","N","-6","1","NL2","1",1
"T","N","72","12","NL2","2","T","N","-6","1","NL2","1",1
"T","N","72","12","NL2","3","T","N","-6","1","NL2","1",1
"T","N","72","12","NL2","4","T","N","-6","1","NL2","1",1
"T","N","72","12","NL2","5","T","N","-6","1","NL2","1",0
"T","N","72","12","NL3","1","T","N","-6","1","NL2","1",0
"T","N","72","12","NL3","4","T","N","-6","1","NL2","1",1
"T","N","72","12","NL5","1","T","N","-6","1","NL2","1",0
"T","N","72","12","NL5","2","T","N","-6","1","NL2","1",1
"T","N","72","12","NL5","3","T","N","-6","1","NL2","1",1
"T","N","72","12","NL5","4","T","N","-6","1","NL2","1",0
"T","N","72","12","NL5","5","T","N","-6","1","NL2","1",1
"T","N","129","19","NL2","1","T","N","-6","1","NL2","1",0
"T","N","129","19","NL2","3","T","N","-6","1","NL2","1",1
"T","N","129","19","NL3","1","T","N","-6","1","NL2","1",0
"T","N","129","19","NL3","2","T","N","-6","1","NL2","1",0
"T","N","129","19","NL3","3","T","N","-6","1","NL2","1",0
"T","N","129","19","NL3","4","T","N","-6","1","NL2","1",1
"T","N","129","19","NL5","1","T","N","-6","1","NL2","1",1
"T","N","129","19","NL5","2","T","N","-6","1","NL2","1",0
"T","N","129","19","NL5","3","T","N","-6","1","NL2","1",0
"T","N","129","19","NL5","4","T","N","-6","1","NL2","1",0
"T","N","166","21","NL2","1","T","N","-6","1","NL2","1",1
"T","N","166","21","NL2","2","T","N","-6","1","NL2","1",1
"T","N","166","21","NL2","3","T","N","-6","1","NL2","1",1
"T","N","166","21","NL2","4","T","N","-6","1","NL2","1",1
"T","N","166","21","NL3","1","T","N","-6","1","NL2","1",0
"T","N","166","21","NL3","2","T","N","-6","1","NL2","1",1
"T","N","166","21","NL3","3","T","N","-6","1","NL2","1",0
"T","N","166","21","NL3","4","T","N","-6","1","NL2","1",1
"T","P","9","3","PL2","1","T","N","-6","1","NL2","1",1
"T","P","9","3","PL2","2","T","N","-6","1","NL2","1",1
"T","P","9","3","PL4","1","T","N","-6","1","NL2","1",0
"T","P","9","3","PL4","2","T","N","-6","1","NL2","1",0
"T","P","9","3","PL5","1","T","N","-6","1","NL2","1",0
"T","P","23","5","PL2","1","T","N","-6","1","NL2","1",0
"T","P","23","5","PL2","2","T","N","-6","1","NL2","1",0
"T","P","23","5","PL2","3","T","N","-6","1","NL2","1",0
"T","P","23","5","PL4","1","T","N","-6","1","NL2","1",0
"T","P","23","5","PL4","2","T","N","-6","1","NL2","1",0
"T","P","23","5","PL4","3","T","N","-6","1","NL2","1",0
"T","P","23","5","PL5","1","T","N","-6","1","NL2","1",1
"T","P","23","5","PL5","2","T","N","-6","1","NL2","1",1
"T","P","23","5","PL5","3","T","N","-6","1","NL2","1",0
"T","P","72","12","PL2","1","T","N","-6","1","NL2","1",0
"T","P","72","12","PL2","2","T","N","-6","1","NL2","1",1
"T","P","72","12","PL2","3","T","N","-6","1","NL2","1",1
"T","P","72","12","PL2","4","T","N","-6","1","NL2","1",1
"T","P","72","12","PL2","5","T","N","-6","1","NL2","1",1
"T","P","72","12","PL4","1","T","N","-6","1","NL2","1",1
"T","P","72","12","PL4","2","T","N","-6","1","NL2","1",1
"T","P","72","12","PL4","3","T","N","-6","1","NL2","1",1
"T","P","72","12","PL4","4","T","N","-6","1","NL2","1",1
"T","P","72","12","PL4","5","T","N","-6","1","NL2","1",1
"T","P","72","12","PL5","1","T","N","-6","1","NL2","1",1
"T","P","72","12","PL5","4","T","N","-6","1","NL2","1",1
"T","P","72","12","PL5","5","T","N","-6","1","NL2","1",1
"T","P","129","19","PL2","1","T","N","-6","1","NL2","1",0
"T","P","129","19","PL2","3","T","N","-6","1","NL2","1",0
"T","P","129","19","PL2","4","T","N","-6","1","NL2","1",0
"T","P","129","19","PL4","1","T","N","-6","1","NL2","1",0
"T","P","129","19","PL4","2","T","N","-6","1","NL2","1",0
"T","P","129","19","PL4","3","T","N","-6","1","NL2","1",1
"T","P","129","19","PL4","4","T","N","-6","1","NL2","1",1
"T","P","129","19","PL5","1","T","N","-6","1","NL2","1",0
"T","P","129","19","PL5","2","T","N","-6","1","NL2","1",1
"T","P","129","19","PL5","3","T","N","-6","1","NL2","1",0
"T","P","129","19","PL5","4","T","N","-6","1","NL2","1",1
"T","P","166","21","PL2","1","T","N","-6","1","NL2","1",0
"T","P","166","21","PL2","2","T","N","-6","1","NL2","1",1
"T","P","166","21","PL2","3","T","N","-6","1","NL2","1",1
"T","P","166","21","PL2","4","T","N","-6","1","NL2","1",1
"T","P","166","21","PL4","1","T","N","-6","1","NL2","1",0
"T","P","166","21","PL4","2","T","N","-6","1","NL2","1",1
"T","P","166","21","PL4","3","T","N","-6","1","NL2","1",0
"T","P","166","21","PL4","4","T","N","-6","1","NL2","1",1
"T","P","166","21","PL5","1","T","N","-6","1","NL2","1",0
"T","P","166","21","PL5","2","T","N","-6","1","NL2","1",0
"T","P","166","21","PL5","3","T","N","-6","1","NL2","1",0
"T","P","166","21","PL5","4","T","N","-6","1","NL2","1",0
NA,NA,"0","0","RIM8-1","1","T","N","-6","1","NL2","3",0
"T","N","9","3","NL2","1","T","N","-6","1","NL2","3",0
"T","N","9","3","NL2","2","T","N","-6","1","NL2","3",0
"T","N","9","3","NL3","1","T","N","-6","1","NL2","3",0
"T","N","9","3","NL3","2","T","N","-6","1","NL2","3",0
"T","N","9","3","NL5","1","T","N","-6","1","NL2","3",0
"T","N","9","3","NL5","2","T","N","-6","1","NL2","3",0
"T","N","23","5","NL2","2","T","N","-6","1","NL2","3",0
"T","N","23","5","NL2","2","T","N","-6","1","NL2","3",0
"T","N","23","5","NL2","3","T","N","-6","1","NL2","3",0
"T","N","23","5","NL3","1","T","N","-6","1","NL2","3",0
"T","N","23","5","NL3","2","T","N","-6","1","NL2","3",0
"T","N","23","5","NL3","3","T","N","-6","1","NL2","3",0
"T","N","23","5","NL5","1","T","N","-6","1","NL2","3",0
"T","N","23","5","NL5","2","T","N","-6","1","NL2","3",0
"T","N","23","5","NL5","3","T","N","-6","1","NL2","3",0
"T","N","72","12","NL2","1","T","N","-6","1","NL2","3",0
"T","N","72","12","NL2","2","T","N","-6","1","NL2","3",0
"T","N","72","12","NL2","3","T","N","-6","1","NL2","3",0
"T","N","72","12","NL2","4","T","N","-6","1","NL2","3",0
"T","N","72","12","NL2","5","T","N","-6","1","NL2","3",0
"T","N","72","12","NL3","1","T","N","-6","1","NL2","3",0
"T","N","72","12","NL3","4","T","N","-6","1","NL2","3",0
"T","N","72","12","NL5","1","T","N","-6","1","NL2","3",0
"T","N","72","12","NL5","2","T","N","-6","1","NL2","3",0
"T","N","72","12","NL5","3","T","N","-6","1","NL2","3",0
"T","N","72","12","NL5","4","T","N","-6","1","NL2","3",0
"T","N","72","12","NL5","5","T","N","-6","1","NL2","3",0
"T","N","129","19","NL2","1","T","N","-6","1","NL2","3",0
"T","N","129","19","NL2","3","T","N","-6","1","NL2","3",0
"T","N","129","19","NL3","1","T","N","-6","1","NL2","3",0
"T","N","129","19","NL3","2","T","N","-6","1","NL2","3",0
"T","N","129","19","NL3","3","T","N","-6","1","NL2","3",0
"T","N","129","19","NL3","4","T","N","-6","1","NL2","3",0
"T","N","129","19","NL5","1","T","N","-6","1","NL2","3",0
"T","N","129","19","NL5","2","T","N","-6","1","NL2","3",0
"T","N","129","19","NL5","3","T","N","-6","1","NL2","3",0
"T","N","129","19","NL5","4","T","N","-6","1","NL2","3",0
"T","N","166","21","NL2","1","T","N","-6","1","NL2","3",0
"T","N","166","21","NL2","2","T","N","-6","1","NL2","3",0
"T","N","166","21","NL2","3","T","N","-6","1","NL2","3",0
"T","N","166","21","NL2","4","T","N","-6","1","NL2","3",0
"T","N","166","21","NL3","1","T","N","-6","1","NL2","3",0
"T","N","166","21","NL3","2","T","N","-6","1","NL2","3",0
